,Name,Album,Artist
0,Down with the Sickness,The Sickness,Disturbed
1,Break Stuff,Significant Other,Limp Bizkit
2,Killing in the Name,Rage Against the Machine,Rage Against the Machine
3,Bodies,Sinner,Drowning Pool
4,Smells Like Teen Spirit,Nevermind,Nirvana
5,In the End,Hybrid Theory,Linkin Park
6,You Oughta Know,Jagged Little Pill,Alanis Morissette
7,Fuck You,Anarchy,Incubus
8,Given Up,Minutes to Midnight,Linkin Park
9,I Hate Everything About You,Three Days Grace,Three Days Grace
10,So What?,The Division Bell,Pink Floyd
11,Breaking the Habit,Meteora,Linkin Park
12,Angry Chair,Dirt,Alice in Chains
13,Walk,Vol. 4,Pantera
14,Angry Again,The Best of Megadeth,Megadeth
15,Hostile,The Great Southern Trendkill,Pantera
16,The Fight Song,Holy Wood (In the Shadow of the Valley of Death),Marilyn Manson
17,Angry Young Man,Turnstiles,Billy Joel
18,Die MF Die,13 Ways to Bleed on Stage,Cold
19,Head Like a Hole,Pretty Hate Machine,Nine Inch Nails
20,Breaking the Law,British Steel,Judas Priest
21,Ace of Spades,Ace of Spades,Motörhead
22,Creeping Death,Ride the Lightning,Metallica
23,Kickstart My Heart,Dr. Feelgood,Mötley Crüe
24,Downfall,Downfall,Children of Bodom
25,Disposable Heroes,Master of Puppets,Metallica
26,The Heretic Anthem,Iowa,Slipknot
27,Last Resort,Infest,Papa Roach
28,In the End,The Downward Spiral,Nine Inch Nails
29,One Step Closer,Hybrid Theory,Linkin Park
